Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Código: F-147-LIME,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49
Trasplantes GICIG,Cámara de electroforesis,59555,BIO-16861-2,,Juan Jose Serrano,"SIU - Laboratorio trasplantes - Torre 1, Lab 410",SIGMA/CBS SCIENTIFIC,EPS-300-IIV,CSE10051321,Docencia e investigación,,,No es considerado dispositivo médico,,,UdeA,,,ND,,,,,,,,,,,,,,,No,,No,,,,,,,,,,,,,
Trasplantes GICIG,Centrifuga refrigerada,116990,BIO-16863,10-780,Juan Jose Serrano / Gloria Vasquez,"SIU - Laboratorio trasplantes - Torre 1, Lab 410",EPPENDORF,5810R,0031579,Extensión,BIO,Clase I,INVIMA 2014DM-0011801,10 años,2005-05-13 00:00:00,UdeA,2004,811.093.098-5,Importecnical Ltda.,No,,Compra,Histórico de reportes de mantenimiento y hojas de vida anteriores,NI,,SI,,SI,SI (CAP),SI,SI,,,Si,1,Si,1,"Tiempo
Temperatura
Velocidad","1 - 99 min
-9 a 40 °C
200 - 14000 rpm","1 min
1 °C
10 rpm hasta 5000, 100 rpm en adelante",NI,NI,120 VAC,12 A,Máx. 75 %HR,10 - 35 °C,"700 X 608 X 345 mm 
(ancho x profundo x alto)",99 kg,Potencia 1300 W Frecuencia 60 Hz
Trasplantes GICIG,Centrifuga refrigerada,162545 / 000605,BIO-16864,10-780,Juan Jose Serrano / Mauricio Rojas,"SIU - Laboratorio trasplantes - Torre 1, Lab 410",Thermo Scientific,MICROCL 17R,41837857,Extensión,BIO,Clase I,INVIMA 2017DM-0015916,10 años,Antes de 2017,UdeA,2015,900.355.024-5,Equipos y Laboratorios,No,,Compra,Histórico de reportes de mantenimiento,NI,,SI,,SI (ING),SI (CAP - ING),SI,SI,,,Si,1,Si,1,Velocidad Temperatura,"300 - 14800 rpm
-9 a 40 °C                                                                                                                                                                                                                                                                                                                                                                                                       ",1 °C,NI,NI,120 VAC,"3,9 A",Máx. 80%HR hasta 31 °C; disminución ineal hasta el 50%HR a 40 °C,5 - 40 °C,330 x 292 x 440 mm (alto x ancho x profundo),28 Kg,Potencia 330 W Frecuencia 60 Hz
Trasplantes GICIG,Centrifuga refrigerada,187244,BIO-16865,10-780,Juan Jose Serrano / Cristiam Alvarez,"SIU - Laboratorio trasplantes - Torre 1, Lab 410",Thermo Scientific,Sorvall SL 16R,42587487,Extensión,BIO,Clase I,INVIMA 2017DM-0015916,10 años,2020-06-12 00:00:00,UdeA,2020-01-14 00:00:00,900.355.024-5,Equipos y Laboratorios,No,,Compra,Hojas de vida anteriores,NI,,SI,,SI,SI (CAP),SI,SI,,Anual,Si,1,Si,1,Velocidad Temperatura,"300 - 15200 rpm
-10 a 40 °C                                                                                                                                                                                                                                                                                                                                                                                                       ",1 °C,NI,NI,120 VAC,12 A,Máx. 80%HR hasta 31 °C; disminución ineal hasta el 50%HR a 40 °C,2 - 35 °C,360 x 623 x 605 mm (alto x ancho x profundo),"91,5 Kg (sin rotor)",Potencia 1200 W Frecuencia 60 Hz
Trasplantes GICIG,Congelador,190161,Pendiente,15-583,Juan Jose Serrano / Cristiam Alvarez,"SIU - Laboratorio trasplantes - Torre 1, Lab 410",Lassele,LFB-771 PC,CTF1A94MB00004,Extensión,IND,,,,Aproximadamente 2020,UdeA,11/2019,,Sodimac Colombia,No,,Compra,,NI,,SI,,,,,,,,Si,1,Si,1 (calificación),Temperatura,NI,NI,NI,NI,115 VAC,NI,NI,NI,NI,NI,Potencia 440 W Frecuencia 60 Hz Volumen 560 litros
Trasplantes GICIG,Desionizador,1-066041-00-2 / 008833,Pendiente,14-435,Juan Jose Serrano / Gloria Vasquez,"SIU - Laboratorio trasplantes - Torre 1, Lab 410",BARNSTEAD Nanopure,D4751,687920150994,Extensión,IND,,,,Antes de 2004,UdeA,NI,NI,NI,No,,Compra,Histórico de reportes de mantenimiento,NI,,SI,,SI (ING),,SI,SI,,,Si,1,No,,Resistividad,0.1-18.3 megohm-cm,,,,100 - 120 VAC,3 A,NI,NI,"559 x 362 x 749 mm 
(ancho x profundo x alto)",NI,Frecuencia 50 / 60 Hz
Trasplantes GICIG,Espectrofotómetro,113075,Pendiente,,Juan Jose Serrano / Gloria Vasquez,"SIU - Laboratorio trasplantes - Torre 1, Lab 410",TERMO SPECTRONIC,GENESYS 10UV,2G6F260002,Docencia e investigación,,Clase I,Antes de 2007,,2003-10-01 00:00:00,UdeA,,,Analítica Ltda.,,,,,,,,,,,,,,,No,,No,,,,,,,,,,,,,
Trasplantes GICIG,Espectrofotometro Nanodrop,157875 / 000502,BIO-16866,15-601,Juan Jose Serrano / Luis Fernando Barrera,"SIU - Laboratorio trasplantes - Torre 1, Lab 410",Thermo Scientific,Nanodrop 2000,R503,Extensión,BIO,Clase I,Certificación 2011016707,10 años,2015-09-14 00:00:00,UdeA,NI,830.034.233-7,AM Asesoria y Mantenimiento Ltda.,No,,Compra,Factura,7133,37120000,SI,,SI (ING),SI (CAP - ING),SI,SI,,Anual,Si,1,Calibración interna,,"Longitud de onda
Absorbancia ","190 - 840 nm
0,02 - 300",NI,NI,NI,Entrada adaptador 120 VAC             Entrada equipo desde adaptador 12 VDC,NI,35 - 65 %HR,15 - 35 °C,NI,2 Kg,"Potencia entrada equipo desde adaptador 20 W
Software compatible: Windows® XP and Vista (32 bit)"
Trasplantes GICIG,Fuente de poder,139750,Pendiente,BIO-16861-3,Juan Jose Serrano / Gloria Vasquez,"SIU - Laboratorio trasplantes - Torre 1, Lab 410",CBS SCIENTIFIC,EPS-300-IIV,CSE10051321,Docencia e investigación,,,No es considerado dispositivo médico,,,UdeA,,,BIOLOGIA MOLECULAR,,,,,,,,,,,,,,,No,,No,,,,,,,,,,,,,
Trasplantes GICIG,Incubadora,34022 / 008808,BIO-16868,18-013,Juan Jose Serrano / Gloria Vasquez,"SIU - Laboratorio trasplantes - Torre 1, Lab 410",MEMMERT,TV10,599033,Extensión,BIO,,Adquirido antes de 2007,10 años,Antes de 2003,UdeA,NI,NI,NI,No,,Compra,Histórico de reportes de mantenimiento,NI,,SI,,,,SI,SI,,,Si,1,Si,1 (calificación),Temperatura,,,,,120 VAC,NI,NI,NI,NI,NI,Potencia 1400 W
Trasplantes GICIG,Luminex,180235 / 008811,BIO-16869,NI,Juan Jose Serrano / Cristiam Alvarez,"SIU - Laboratorio trasplantes - Torre 1, Lab 410",LUMINEX,Luminex LX 100/ 200,LX10017065423,Extensión,BIO,Clase IIa,INVIMA 2020DM-0022003,10 años,"Fecha de compra: 29/09/2016
Fecha de cambio 2 por garantía: 16/03/2018 (equipo que se tiene actualmente).",UdeA,2017-03-06 00:00:00,900.222.640-1,BIOSCIENCES S.A.S.,No,,Compra,Factura,5220,292320000,SI,SI,SI,SI (CAP),SI,SI,,Semestral,Si,2,No,,Longitud de onda,laser reportero 532nm y laser clasficador 635nm,NI,NI,NI,100 - 120 VAC / 200 - 240 VAC,"1,4 A / 0,8 A","20 % A 80% HR, sin condensación",15 - 30 °C,"43 x 50,5 x 24,5 cm (ancho x profundidad x alto)",25 kg,Frecuencia 47 - 63 Hz
Trasplantes GICIG,Microcentrífuga,114518,BIO-16870,NI,Juan Jose Serrano ,"SIU - Laboratorio trasplantes - Torre 1, Lab 410",NATIONAL LABNET,C1200,14816,Extensión,BIO,Clase I,,,aprox. 2005,UdeA,,,ND,,,,,,,,,,,,,,,Si,1,No,,,,,,,115 VAC,,,,,,Frecuencia 60 Hz
Trasplantes GICIG,Microondas,E-20702301-2-003,Pendiente,,Juan Jose Serrano ,"SIU - Laboratorio trasplantes - Torre 1, Lab 410",DAEWOO,KOR-6105,KJ7YCE0450,,,,,,,UdeA,,,ND,,,,,,,,,,,,,,,No,,No,,,,,,,,,,,,,
Trasplantes GICIG,Microscopio invertido,60951 / 008813,BIO-16871,17-440,Juan Jose Serrano / Gloria Vasquez,"SIU - Laboratorio trasplantes - Torre 1, Lab 410",NIKON,TMS,211160,Extensión,BIO,Clase I,Antes de 2007,,1989-05-01 00:00:00,UdeA,NI,NI,NI,No,,Compra,Histórico de reportes de mantenimiento y hojas de vida anteriores,NI,,SI,,SI (ING),,SI  ,SI,,,Si,1,No,,,,,,,120 VAC,"0,42 A",NI,NI,NI,NI,Potencia 50 W Frecuencia 50/60 Hz
Trasplantes GICIG,Microscopio invertido,56922 / 008810,BIO-16872,17-440,Juan Jose Serrano / Cristiam Alvarez,"SIU - Laboratorio trasplantes - Torre 1, Lab 410",NIKON,TMS,214556,Extensión,BIO,Clase I,Antes de 2007,,Aproximadamente 2004,UdeA,NI,N,NI,No,,Compra,Histórico de reportes de mantenimiento,NI,,SI,,SI (ING),,SI,SI,,,Si,1,No,,,,,,,120 VAC,"0,42 A",NI,NI,NI,NI,Potencia 50 W Frecuencia 50/60 Hz
Trasplantes GICIG,Minishaker,133246 / 008803,BIO-16873,15-651,Juan Jose Serrano / Gloria Vasquez,"SIU - Laboratorio trasplantes - Torre 1, Lab 410",IKA,MS3 D S1,03.318861,Extensión,BIO,,ACTA No. 03 Abril 10 de 2013 ,,2009-08-28 00:00:00,UdeA,NI, 811.033.098-5,Importecnical Ltda.,No,,Compra,Hojas de vida anteriores,NI,,SI,,SI,,SI,SI,,,Si,1,Si,1,Velocidad,500 - 3000 rpm,NI,NI,NI,Entrada adaptador 120 VAC             Entrada equipo desde adaptador 24 VDC,Entrada equipo desde adaptador 800 mA,NI,NI,"148 x 205 x 63 mm 
(ancho x profundo x alto)","2,9 kg",NI
Trasplantes GICIG,Nevera,114179,Pendiente,17-157,Juan Jose Serrano / Gloria Vasquez,"SIU - Laboratorio trasplantes - Torre 1, Lab 410",FAGOR,AFP1602-ID961,ND,Extensión,IND,,Antes de 2007,,2004-05-01 00:00:00,UdeA,NI,900.098.584-5,Fagor Industrial,No,,Compra,Histórico de reportes de mantenimiento y hojas de vida anteriores,NI,,SI,,,,,,,,Si,1,Si,1 (calificación),Temperatura,,,2 - 8 °C,NI,NI,NI,NI,NI,NI,NI,NI
Trasplantes GICIG,Nevera,116237,Pendiente,13-315,Juan Jose Serrano / Cristiam Alvarez,"SIU - Laboratorio trasplantes - Torre 1, Lab 410 - PRE PCR",HACEB,N282SLCE1PA,G-041074060,Extensión,IND,,Antes de 2007,,2005-02-22 00:00:00,UdeA,NI,NI,Cacharreria Mundial S.A.,No,,Compra,Histórico de reportes de mantenimiento y hojas de vida anteriores,NI,,SI,,,,,,,,Si,1,Si,1 (calificación),Temperatura,,,2 - 8 °C,,115 VAC,"1,6 A",NI,NI,NI,NI, Frecuencia 60 Hz Volumen 282 litros
Trasplantes GICIG,NX STATUS GPRS -4ºC PRE-PCR,COMODATO,Pendiente,,Juan Jose Serrano ,"SIU - Laboratorio trasplantes - Torre 1, Lab 410",NETUX,SA07,NXS-SA07-1702-AA530,,,,,,2019-05-11 00:00:00,Comodato,,,NETUX,,,,,,,,,,,,,,,No,,No,,,,,,,,,,,,,
Trasplantes GICIG,NX STATUS GPRS 4ºC  TRASPLANTES,COMODATO,Pendiente,,Juan Jose Serrano ,"SIU - Laboratorio trasplantes - Torre 1, Lab 410",NETUX,SA07,NXS-SA07-1702-AA528,,,,,,2019-05-11 00:00:00,Comodato,,,NETUX,,,,,,,,,,,,,,,No,,No,,,,,,,,,,,,,
Trasplantes GICIG,NX STATUS GPRS -20ºC PRE-PCR,COMODATO,Pendiente,,Juan Jose Serrano ,"SIU - Laboratorio trasplantes - Torre 1, Lab 410",NETUX,SA07,NXS-SA07-1702-AA531,,,,,,2019-05-11 00:00:00,Comodato,,,NETUX,,,,,,,,,,,,,,,No,,No,,,,,,,,,,,,,
Trasplantes GICIG,Pesa,1491,Pendiente,,Juan Jose Serrano / Cristiam Alvarez,"SIU - Laboratorio trasplantes - Torre 1, Lab 410",DETECTO,CILINDRICA No.1,N1,,,,,,,UdeA,,,Analítica Ltda.,,,,,,,,,,,,,,,No,,No,,,,,,,,,,,,,
Trasplantes GICIG,Micropipeta,15 / 61083,BIO-16874,15-166,Juan Jose Serrano / Gloria Vasquez,"SIU - Laboratorio trasplantes - Torre 1, Lab 410 - (Serología)",GILSON,P-1000,CD73406,Extensión,BIO,Clase I,ACTA No. 09 17 de Septiembre de 2014,,2009-02-18 00:00:00,UdeA,NI,NI,BIOLOGIA MOLECULAR,No,,Compra,Histórico de reportes de mantenimiento y hojas de vida anteriores,NI,,SI,,SI (ING),,SI,,,,Si,1,Si,1,Volumen,200 - 1000 ul,2 uL,200 - 1000 ul,NI,,,,,,,
Trasplantes GICIG,Micropipeta,12 / 3 - 058976 - 02,BIO-16875,15-166,Juan Jose Serrano ,"SIU - Laboratorio trasplantes - Torre 1, Lab 410 - (Post-PCR) ",GILSON,P-1000,Y51513C,Extensión,BIO,Clase I,ACTA No. 09 17 de Septiembre de 2014,,2003,UdeA,NI,811.026.956-0,MR Y CIA S.A.S,No,,Compra,Hojas de vida anteriores,NI,,SI,,SI (ING),,SI,,,,Si,1,Si,1,Volumen,200 - 1000 ul,2 uL,200 - 1000 ul,NI,,,,,,,
Trasplantes GICIG,Micropipeta,18 / 59470,BIO-16876,15-166,Juan Jose Serrano ,"SIU - Laboratorio trasplantes - Torre 1, Lab 410 - (PRE-PCR) Backup1",GILSON,P-1000,X63933E,Extensión,BIO,Clase I,ACTA No. 09 17 de Septiembre de 2014,,Antes de 2005,UdeA,NI,	800.160.884-1,FILTRACIÓN Y ANÁLISIS,No,,Compra,Histórico de reportes de mantenimiento,NI,,SI,,SI (ING),,SI,,,,Si,1,Si,1,Volumen,200 - 1000 ul,2 uL,200 - 1000 ul,NI,,,,,,,
Trasplantes GICIG,Micropipeta,8 / 3.060881.00,BIO-16877,15-166,Juan Jose Serrano / Gloria Vasquez,"SIU - Laboratorio trasplantes - Torre 1, Lab 410 - (PRE-PCR) Backup2",GILSON,P-1000,CB63839,Extensión,BIO,Clase I,ACTA No. 09 17 de Septiembre de 2014,,Antes de 2018,UdeA,NI,NI,ND,No,,Compra,Histórico de reportes de mantenimiento,NI,,SI,,SI (ING),,SI,,,,Si,1,Si,1,Volumen,200 - 1000 ul,2 uL,200 - 1000 ul,NI,,,,,,,
Trasplantes GICIG,Micropipeta,4 / 3 - 059471 - 00 / 011919,BIO-16878,15-166,Juan Jose Serrano ,"SIU - Laboratorio trasplantes - Torre 1, Lab 410 -  (PRE-PCR)",GILSON,P-1000,X62492E,Extensión,BIO,Clase I,ACTA No. 09 17 de Septiembre de 2014,,NI,UdeA,NI,	800.160.884-1,FILTRACIÓN Y ANÁLISIS,No,,Compra,NI,NI,,SI,,SI (ING),,SI,,,,Si,1,Si,1,Volumen,200 - 1000 ul,2 uL,200 - 1000 ul,NI,,,,,,,
Trasplantes GICIG,Micropipeta,21 / 59447 / 011921,BIO-16879,15-166,Juan Jose Serrano ,"SIU - Laboratorio trasplantes - Torre 1, Lab 410 -  Backup",GILSON,P-1000,X62491E,Extensión,BIO,Clase I,ACTA No. 09 Septiembre 17 de 2014,,NI,UdeA,NI,NI,NI,No,,Compra,NI,NI,,SI,,SI (ING),,SI,,,,Si,1,Si,1,Volumen,200 - 1000 ul,2 uL,200 - 1000 ul,NI,,,,,,,
Trasplantes GICIG,Micropipeta,14 / 55234,BIO-16880,15-166,Juan Jose Serrano / Luis Fernando Barrera,"SIU - Laboratorio trasplantes - Torre 1, Lab 410 -  (PRE-PCR)",GILSON,P-200,CN57214,Extensión,BIO,Clase I,ACTA No. 09 17 de Septiembre de 2014,,NI,UdeA,NI,NI,ND,No,,Compra,NI,NI,,SI,,SI (ING),,SI,,,,Si,1,Si,1,Volumen,50 - 200 ul,"0,2 uL",50 - 200 ul,NI,,,,,,,
Trasplantes GICIG,Micropipeta,17 / 3 - 060876 - 00,BIO-16881,15-166,Juan Jose Serrano / Gloria Vasquez,"SIU - Laboratorio trasplantes - Torre 1, Lab 410 - (Serología)",GILSON,P-200,BM68997,Extensión,BIO,Clase I,ACTA No. 09 17 de Septiembre de 2014,,2008-05-27 00:00:00,UdeA,NI,NI,BIOLOGIA MOLECULAR,No,,Compra,Histórico de reportes de mantenimiento y hojas de vida anteriores,NI,,SI,,SI (ING),,SI,,,,Si,1,Si,1,Volumen,50 - 200 ul,"0,2 uL",50 - 200 ul,NI,,,,,,,
Trasplantes GICIG,Micropipeta,7 / 3 - 055231 - 00,BIO-16882,15-166,Juan Jose Serrano / Luis Fernando Barrera,"SIU - Laboratorio trasplantes - Torre 1, Lab 410 - (Post-PCR)",GILSON,P-200,T63943C,Extensión,BIO,Clase I,ACTA No. 09 17 de Septiembre de 2014,,NI,UdeA,NI,NI,ND,No,,Compra,NI,NI,,SI,,SI (ING),,SI,,,,Si,1,Si,1,Volumen,50 - 200 ul,"0,2 uL",50 - 200 ul,NI,,,,,,,
Trasplantes GICIG,Micropipeta,3 / 58723,BIO-16883,15-166,Juan Jose Serrano ,"SIU - Laboratorio trasplantes - Torre 1, Lab 410 - (PRE-PCR) Backup1",GILSON,P-200,Y51967C,Extensión,BIO,Clase I,ACTA No. 09 17 de Septiembre de 2014,,2008-05-27 00:00:00,UdeA,NI,NI,ND,No,,Compra,Hojas de vida anteriores,NI,,SI,,SI (ING),,SI,,,,Si,1,Si,1,Volumen,50 - 200 ul,"0,2 uL",50 - 200 ul,NI,,,,,,,
Trasplantes GICIG,Micropipeta,10 / 3.059446.00 / 011920,BIO-16884,15-166,Juan Jose Serrano ,"SIU - Laboratorio trasplantes - Torre 1, Lab 410 - (PRE-PCR) Backup 2",GILSON,P-200,X51392G,Extensión,BIO,Clase I,ACTA No. 09 Septiembre 17 de 2014,,NI,UdeA,NI,NI,NI,No,,Compra,NI,NI,,SI,,SI (ING),,SI,,,,Si,1,Si,1,Volumen,50 - 200 ul,"0,2 uL",50 - 200 ul,NI,,,,,,,
Trasplantes GICIG,Micropipeta,2 / 52653,BIO-16885,15-166,Juan Jose Serrano / Andres Baena,"SIU - Laboratorio trasplantes - Torre 1, Lab 410 -  (PRE-PCR)",GILSON,P-20,R52205C,Extensión,BIO,Clase I,ACTA No. 09 17 de Septiembre de 2014,,NI,UdeA,NI,811.026.956-0,MR Y CIA S.A.S,No,,Compra,NI,NI,,SI,,SI (ING),,SI,,,,Si,1,Si,1,Volumen,2 - 20 ul,"0,02 uL",2 - 20 ul,NI,,,,,,,
Trasplantes GICIG,Micropipeta,6 / 61084,BIO-16886,15-166,Juan Jose Serrano / Gloria Vasquez,"SIU - Laboratorio trasplantes - Torre 1, Lab 410 - (Serología)",GILSON,P-20,BN57763,Extensión,BIO,Clase I,ACTA No. 09 17 de Septiembre de 2014,,NI,UdeA,NI,NI,ND,No,,Compra,NI,NI,,SI,,SI (ING),,SI,,,,Si,1,Si,1,Volumen,2 - 20 ul,"0,02 uL",2 - 20 ul,NI,,,,,,,
